티커,종가,시가총액,거래량,거래대금,상장주식수,날짜
001820,65300,678793500000,270134,17902084000,10395000,20190131
034310,17900,678093170000,73047,1305740350,37882300,20190131
039200,24100,677254319900,463467,10948043450,28101839,20190131
006840,51000,675625611000,29528,1503036300,13247561,20190131
005180,68500,674810008500,26996,1850894000,9851241,20190131
200230,8150,670990176450,867372,7117315360,82330083,20190131
001120,17250,668610000000,104313,1803677850,38760000,20190131
071320,57600,666935654400,8664,495291200,11578744,20190131
034830,2640,666571567200,298197,785372325,252489230,20190131
271980,45000,661719240000,57541,2573486100,14704872,20190131
199800,102400,659128217600,5627,573387500,6436799,20190131
007700,42550,655270000000,93068,4004080800,15400000,20190131
000640,105000,644520870000,11992,1257074000,6138294,20190131
112040,38050,639240000000,173290,6687363450,16800000,20190131
052020,23900,638384319900,269396,6397327650,26710641,20190131
001430,17750,636552612250,71686,1256826650,35862119,20190131
000370,5420,632724919300,189550,1021335110,116738915,20190131
064760,53900,629282500000,54183,2898261200,11675000,20190131
115450,25650,628215619050,260437,6692859250,24491837,20190131
108670,70000,627736900000,79196,5498070100,8967670,20190131
272450,20900,627000000000,253170,5236577450,30000000,20190131
108320,38500,626175550000,112303,4353274750,16264300,20190131
039030,50900,625083863400,81024,4176985000,12280626,20190131
030190,10250,622326905000,238517,2448963700,60714820,20190131
145990,60400,621504101200,13490,808837400,10289803,20190131
078160,78600,618457890600,63650,5047903800,7868421,20190131
073070,7000,612558625000,733621,5192820110,87508375,20190131
267980,76900,603175762200,28466,2195044400,7843638,20190131
045390,8450,601230360900,2220834,18690890520,71151522,20190131
263050,82400,598518827200,39146,3232539000,7263578,20190131
031390,50300,596951295700,219903,11184197050,11867819,20190131
003540,11600,588971440000,117046,1353411150,50773400,20190131
226320,26850,588802107750,55530,1483951700,21929315,20190131
300720,142000,588585740000,25639,3662805500,4144970,20190131
005880,24000,586236096000,62896,1497921300,24426504,20190131
067630,15950,578963068750,360091,5816019000,36298625,20190131
218410,25750,578802217000,137806,3537677700,22477756,20190131
023410,7470,576101840490,1749081,13212541330,77122067,20190131
000990,12900,572741785200,840384,11101998250,44398588,20190131
267260,27750,564910496250,230177,6429341050,20357135,20190131
210980,29600,562108854400,20283,593687750,18990164,20190131
241590,9230,558753464100,166954,1538246760,60536670,20190131
019680,6590,558191781500,73335,480654270,84702850,20190131
001720,59400,557542477800,2579,151935700,9386237,20190131
007570,29150,556347105600,66546,1953006850,19085664,20190131
000815,174000,555408000000,6494,1130685000,3192000,20190131
243070,67800,553796163000,34574,2349451900,8168085,20190131
024720,30850,553417101100,53285,1636166800,17938966,20190131
038500,5140,551815869220,1777771,9345631590,107357173,20190131
006120,28950,551145902250,42520,1228257800,19037855,20190131
286940,38300,547153800000,61637,2349865900,14286000,20190131
009450,42600,542703126000,29293,1250001600,12739510,20190131
053210,11300,540388215800,37603,423716600,47821966,20190131
090460,17100,536594169600,629577,10897712750,31379776,20190131
065660,63200,533392263200,100242,6361464000,8439751,20190131
005500,38250,531675000000,35683,1376243750,13900000,20190131
010050,787,530598080522,2722524,2138096217,674203406,20190131
141080,50100,530553088200,161924,7958211300,10589882,20190131
004430,22000,528000000000,174850,3863194100,24000000,20190131
004490,37500,525000000000,18742,699833600,14000000,20190131
00680K,3745,524300000000,345172,1291779870,140000000,20190131
003230,68700,517518130500,273069,18449850000,7533015,20190131
058820,4735,515581100340,3361977,16457436180,108887244,20190131
298050,114500,512954046000,14426,1662907500,4479948,20190131
033660,8900,512158421000,241903,2164792260,57545890,20190131
002240,25550,511000000000,18419,464560450,20000000,20190131
006490,5650,506937571600,1149377,6468427540,89723464,20190131
228760,31700,505588942600,3632,115531650,15949178,20190131
053800,50200,502695521000,107182,5365603450,10013855,20190131
086450,56400,501508800000,11391,644350300,8892000,20190131
023890,54700,500505000000,6801,370802100,9150000,20190131
064960,34100,498648937600,57065,1942724600,14623136,20190131
183190,127500,496715647500,19061,2397078000,3895809,20190131
096530,18900,495822978000,148620,2802803700,26234020,20190131
091700,9060,490657074600,444274,4096021630,54156410,20190131
208340,70400,483860044800,112587,7897020800,6873012,20190131
144510,45750,482847970500,138891,6324362650,10554054,20190131
029530,47900,482833389100,12111,578844600,10080029,20190131
001520,2020,482141807260,676051,1378106120,238684063,20190131
002320,40250,481979904000,184840,7461422300,11974656,20190131
041140,13600,481077179200,5921812,80531579900,35373322,20190131
112610,27600,477085734000,27029,745975600,17285715,20190131
067160,41400,475883353800,174929,7142519500,11494767,20190131
060980,43700,472077596700,30638,1337858100,10802691,20190131
002990,13050,470261304450,190695,2518233150,36035349,20190131
229500,54000,467403156000,4542,243694800,8655614,20190131
080160,24700,466830000000,138580,3425923900,18900000,20190131
011690,8220,466163918580,179693,1481783640,56710939,20190131
066575,27050,464881083600,29764,809000300,17185992,20190131
126560,4115,464487192540,74714,305537155,112876596,20190131
002100,21400,464203450000,1554427,32379051250,21691750,20190131
096760,7170,462614881680,90677,646229340,64520904,20190131
042700,7980,456646642200,1069313,8626174330,57223890,20190131
138250,13550,456580800000,17771,236947400,33696000,20190131
123890,4435,455651407715,94435,416283275,102739889,20190131
002150,13500,455220000000,1202817,16530989900,33720000,20190131
003920,632000,455040000000,747,470308000,720000,20190131
081000,40150,452810696250,636492,25807249400,11277975,20190131
298000,141000,449807766000,15682,2220720500,3190126,20190131
005290,8700,447306097800,419584,3707769830,51414494,20190131
006730,8620,447129804340,73988,634841540,51871207,20190131
070960,9250,445233330250,4277710,39548827570,48133333,20190131
032500,23600,443916000000,123717,2901335700,18810000,20190131
082270,12500,440745262500,200026,2521690400,35259621,20190131
049950,56000,440414240000,35077,1985052900,7864540,20190131
025540,42200,439513000000,15994,674764150,10415000,20190131
003850,9940,439348000000,237741,2375281740,44200000,20190131
015350,39400,433400000000,3079,121410400,11000000,20190131
009520,10400,433084111200,2363866,24320946550,41642703,20190131
272290,48200,432330189200,88851,4278850200,8969506,20190131
084110,41400,430737978600,20407,841512350,10404299,20190131
002960,331000,430300000000,1140,374712500,1300000,20190131
249420,19900,429669118700,49406,974992000,21591413,20190131
002210,17150,424575244100,706692,12062522400,24756574,20190131
298040,45350,422868251800,79618,3634916400,9324548,20190131
002020,33300,420459985800,19461,645257800,12626426,20190131
014830,47150,419156097450,20799,974136750,8889843,20190131
033290,4630,419016083420,204666,943826395,90500234,20190131
002620,26200,418501901000,16464,420835200,15973355,20190131
011760,31600,418035325600,151497,4738338500,13228966,20190131
017390,83600,418000000000,353,29521600,5000000,20190131
034120,22900,417984127800,27333,621699850,18252582,20190131
003530,2415,416448664065,721499,1746738515,172442511,20190131
017940,60700,416402000000,5951,360637900,6860000,20190131
213420,17100,410571205200,364197,6317371600,24010012,20190131
035600,14700,410195179800,353749,5189087250,27904434,20190131
068240,15700,409786594900,198245,3118900050,26101057,20190131
213500,17150,408179878400,107665,1841947800,23800576,20190131
004690,100500,407530012500,7815,779502700,4055025,20190131
108230,11000,404758794000,630907,6933315950,36796254,20190131
079430,19650,403518291300,99277,1924824200,20535282,20190131
217730,19350,402962530950,192947,3731467450,20824937,20190131
192440,64200,399090504600,48314,3054292500,6216363,20190131
039840,26300,399007898900,33912,897269750,15171403,20190131
033920,13750,391875000000,30790,418390550,28500000,20190131
001725,55200,389367717600,729,40184400,7053763,20190131
013120,4250,385934425000,127298,536042190,90808100,20190131
058650,96400,385600000000,757,72906900,4000000,20190131
009680,11650,384450000000,373911,4362683300,33000000,20190131
019170,7250,384141177500,777058,5605024090,52984990,20190131
009290,7320,383720629320,78546,570300010,52420851,20190131
032190,10000,383000000000,48943,487481040,38300000,20190131
060570,6890,382796542310,111964,780692590,55558279,20190131
